osd_id,n_flight,n_ground,flight_mean_CT,ground_mean_CT,phase_shift_hours,phase_shift_ci_lower,phase_shift_ci_upper,p_value,F_statistic,tissue,ecotype,hardware,light_regime,included_in_meta,reason
OSD-120,18,18,22.160839518445847,22.295299491125462,-0.13445997267961474,-0.41242717029217657,0.12469303596831716,0.2975753580622197,1.1190783932510429,root,Col-0,petri dish,unknown,True,OK
OSD-121,3,3,0.3409060156865486,0.4605533026858047,-0.11964728699925686,-0.26242303602464645,0.05200748994908794,0.32835651878876226,1.237173119782081,shoot,Landsberg ecotype,BRIC-PDFU,dark,True,OK
OSD-136,0,0,,,,,,,,root,Ws,,continuous_light,False,"Insufficient replicates (flight=0, ground=0)"
OSD-147,9,9,0.9300169429089234,0.9948920978810047,-0.06487515497208207,-0.14047343023560047,0.005570032611842461,0.13393873713903226,2.4927105914078145,hypocotyl,Col-0,BRIC,continuous_light,True,OK
OSD-17,12,12,0.21285553416985684,0.274395309557225,-0.061539775387366547,-0.14245712616614387,0.017002340089398577,0.1467872861199897,2.2621980774697223,cell_culture,Col-0,,unknown,True,OK
OSD-193,16,16,22.234508358414292,22.47141202950377,-0.23690367108947896,-0.36046390437530007,-0.12205329472916296,0.0016767457624264903,11.91682105563348,root,Col-0,Vegetable Production System (Veggie),unknown,True,OK
OSD-205,8,8,0.9694084743645184,1.0158914634429013,-0.04648298907838466,-0.12158014659853773,0.022229431487756388,0.30780711715844156,1.1201466918612117,hypocotyl,Col-0,BRIC-LED (Biological Research In a Canister - Light Emitting Diode),dark,True,OK
OSD-208,0,6,,23.08636702160012,,,,,,root,Col-0,growth chamber,continuous_light,False,"Insufficient replicates (flight=0, ground=6)"
OSD-217,6,6,23.137962099747917,22.81668936721178,0.3212727325361371,-0.27944150734887746,0.7583150228060804,0.2284779476421419,1.645717749490335,leaf,Ws,Vegetable Production System (Veggie),unknown,True,OK
OSD-218,16,16,22.27046172551948,22.38370054223238,-0.11323881671290081,-0.23436875899568524,-0.005165887326348099,0.05681156938193577,3.924752550135237,root,Col-0,Vegetable Production System (Veggie),unknown,True,OK
OSD-251,20,0,22.470360064880165,,,,,,,whole_seedling,Landsberg ecotype,European Modular Cultivation System (EMCS),unknown,False,"Insufficient replicates (flight=20, ground=0)"
OSD-281,16,16,22.181907204313813,22.35153281233361,-0.1696256080197962,-0.32420800680672884,-0.015334670198970377,0.038097444495209576,4.706666663521436,root,Sku5,Vegetable Production System (Veggie),unknown,True,OK
OSD-314,11,6,23.513481670397834,23.37691073196691,0.13657093843092483,-0.16712479110532968,0.4225845350970536,0.25438959751836154,1.4046161213228936,whole_seedling,Col-0,European Modular Cultivation System (EMCS),LD_16:8,True,OK
OSD-321,22,22,22.7966046665748,23.22611691097725,-0.4295122444024493,-0.5039864304297652,-0.3569999411699527,1.7724288292608747e-07,38.98134234324732,whole_seedling,Col-0,BRIC-PDFU (Petri Dish Fixation Unit),dark,True,OK
OSD-346,36,0,22.774415744435718,,,,,,,,Landsberg erecta,European Modular Cultivation System (EMCS),unknown,False,"Insufficient replicates (flight=36, ground=0)"
OSD-37,28,28,23.658803306223984,23.703158499344575,-0.044355193120591,-0.211957119842927,0.14470223670011642,0.5942813257168884,0.2871059821053969,whole_seedling,Col-0,BRIC-PDFU (Petri Dish Fixation Unit),dark,True,OK
OSD-38,3,9,22.940872799507414,23.460427152095924,-0.5195543525885107,-0.7074844116637984,-0.32238968804897283,0.025922748310877708,6.825927290849125,whole_seedling,wild_type,BRIC-PDFU,dark,True,OK
OSD-427,24,24,23.280881154288377,23.114727775290266,0.16615337899811067,-0.07597702038755898,0.4134334857683015,0.17004834833526694,1.942929401995228,leaf,Col-0,Vegetable Production System (Veggie),continuous_light,True,OK
OSD-437,16,3,23.610095807354526,23.463458914035847,0.14663689331867857,-0.04832744805822022,0.34114992305762365,0.4497062263243057,0.5986869726861994,shoot,Col-0,European Modular Cultivation System (EMCS),LD_16:8,True,OK
OSD-44,6,6,1.301909286687241,1.3368247896003986,-0.034915502913158036,-0.1904464096644345,0.11084726451612555,0.6452278627530768,0.22529820405402862,whole_seedling,act2-3,,dark,True,OK
OSD-522,6,6,3.742097057313165,3.086344931913421,0.655752125399744,0.12884631022820703,1.2495052439083687,0.06436062501435436,4.320122662437197,shoot,Col-0,BRIC-LED,LD_4:2,True,OK
OSD-678,18,18,1.1746200590040263,1.3984859487391703,-0.2238658897351442,-1.5525046549920414,1.1173481877666445,0.7495118449977289,0.10360885368528788,leaf,Col-0,Petri Dish,continuous_light,True,OK
OSD-7,18,18,0.7125129889459401,0.6226871109342845,0.08982587801165554,-0.06811278031727336,0.2606180596176556,0.26179410917924206,1.3021538684806517,hypocotyl,Ws,Advanced Biological Research System (ABRS),unknown,True,OK
